cause,effect,lag,p_value,significant,controlled_for_fin
geopolitical,tech,1,0.8031,False,False
geopolitical,tech,2,0.8474,False,False
geopolitical,tech,3,0.319,False,False
geopolitical,tech,4,0.3998,False,False
geopolitical,tech,5,0.4631,False,False
geopolitical,balanced,1,0.9072,False,False
geopolitical,balanced,2,0.6696,False,False
geopolitical,balanced,3,0.8581,False,False
geopolitical,balanced,4,0.8637,False,False
geopolitical,balanced,5,0.9536,False,False
technology,geopolitical,1,0.7777,False,False
technology,geopolitical,2,0.6391,False,False
technology,geopolitical,3,0.4198,False,False
technology,geopolitical,4,0.5835,False,False
technology,geopolitical,5,0.0836,False,False
