portfolio,feature,coefficient
geopolitical,article_count_financial,3.266940425774308e-06
geopolitical,article_count_geopolitical,2.6838628188302726e-05
geopolitical,article_count_technology,-0.0001362609929559181
geopolitical,sentiment_score_financial,5.0795715126681434e-05
geopolitical,sentiment_score_geopolitical,-0.00015270641102054433
geopolitical,sentiment_score_technology,-1.0132865299941399e-05
geopolitical,article_zscore_financial,0.00022971725278399328
geopolitical,article_zscore_geopolitical,-0.0001484224187839958
geopolitical,article_zscore_technology,0.00011688774621626477
geopolitical,sentiment_velocity_financial,-5.660695451353736e-05
geopolitical,sentiment_velocity_geopolitical,-0.0001039440209320679
geopolitical,sentiment_velocity_technology,-2.7150838264563397e-05
geopolitical,sentiment_3d_financial,0.00019113001374351657
geopolitical,sentiment_3d_geopolitical,2.2393721554052826e-05
geopolitical,sentiment_3d_technology,-0.00018184348197788466
geopolitical,market_regime_flag,-7.107443242109715e-06
geopolitical,weighted_sentiment_financial,-0.00014809247627719054
geopolitical,weighted_sentiment_geopolitical,-0.00018017461378457228
geopolitical,weighted_sentiment_technology,-0.00015775136699158377
geopolitical,z_lag1_sentiment_score_financial,0.0001186083457495825
geopolitical,z_lag1_sentiment_score_geopolitical,-1.3737629224771685e-05
geopolitical,z_lag1_sentiment_score_technology,2.6728073594692747e-05
geopolitical,lagged_vol_geopolitical,0.00379890760945399
geopolitical,lagged_vol_tech,0.00012676762245803356
geopolitical,lagged_vol_balanced,-4.674596585714946e-05
geopolitical,lagged_vol_conservative,0.0004142338558240766
geopolitical,sentiment_interaction_geo_fin,0.0002037979384371181
tech,article_count_financial,-0.0001781833228314023
tech,article_count_geopolitical,-7.216885524838878e-06
tech,article_count_technology,-0.00034943377559101997
tech,sentiment_score_financial,-0.0001713288978394941
tech,sentiment_score_geopolitical,0.0003359441034147276
tech,sentiment_score_technology,0.0001002609248901678
tech,article_zscore_financial,6.142109767075371e-05
tech,article_zscore_geopolitical,-0.00028028912479867516
tech,article_zscore_technology,0.0006465860536799481
tech,sentiment_velocity_financial,-4.762047936940473e-05
tech,sentiment_velocity_geopolitical,0.00020297115837751892
tech,sentiment_velocity_technology,-5.250438633029183e-05
tech,sentiment_3d_financial,0.00042764639558823866
tech,sentiment_3d_geopolitical,-0.00010580825793354041
tech,sentiment_3d_technology,-0.0002698301708911766
tech,market_regime_flag,-0.00034307583693920786
tech,weighted_sentiment_financial,0.00017858780164741513
tech,weighted_sentiment_geopolitical,-0.00033503722696528424
tech,weighted_sentiment_technology,-0.0003711395215597612
tech,z_lag1_sentiment_score_financial,-0.0001170296497943322
tech,z_lag1_sentiment_score_geopolitical,6.498991661020618e-05
tech,z_lag1_sentiment_score_technology,0.00017195468198438296
tech,lagged_vol_geopolitical,-0.00018246709001049286
tech,lagged_vol_tech,0.007098362413519867
tech,lagged_vol_balanced,-5.5965276737574835e-05
tech,lagged_vol_conservative,0.00043644035164445337
tech,sentiment_interaction_geo_fin,-0.0002079860888253259
balanced,article_count_financial,-9.466384344503156e-05
balanced,article_count_geopolitical,7.074870652628928e-05
balanced,article_count_technology,-0.00011139503801334775
balanced,sentiment_score_financial,-7.140116474659641e-05
balanced,sentiment_score_geopolitical,7.339483702643979e-05
balanced,sentiment_score_technology,-3.620998319016089e-05
balanced,article_zscore_financial,-2.6078018471616608e-05
balanced,article_zscore_geopolitical,-0.00010241734808209352
balanced,article_zscore_technology,0.00014283784723415988
balanced,sentiment_velocity_financial,-4.006867008841669e-06
balanced,sentiment_velocity_geopolitical,5.651160711855842e-05
balanced,sentiment_velocity_technology,-5.7661766331572495e-05
balanced,sentiment_3d_financial,0.0001894688212176582
balanced,sentiment_3d_geopolitical,-3.5338702529974587e-07
balanced,sentiment_3d_technology,-0.00010935114872805848
balanced,market_regime_flag,-0.0002242810300025245
balanced,weighted_sentiment_financial,0.00016467527467263528
balanced,weighted_sentiment_geopolitical,-9.779199959839382e-05
balanced,weighted_sentiment_technology,-0.00013691302718214275
balanced,z_lag1_sentiment_score_financial,-6.756387749787847e-05
balanced,z_lag1_sentiment_score_geopolitical,-2.263281022642311e-06
balanced,z_lag1_sentiment_score_technology,4.202318113064695e-05
balanced,lagged_vol_geopolitical,0.0001044459240950112
balanced,lagged_vol_tech,0.0001269784565115759
balanced,lagged_vol_balanced,0.0022252214563556836
balanced,lagged_vol_conservative,0.00021581527320237102
balanced,sentiment_interaction_geo_fin,-0.00011742299179769474
conservative,article_count_financial,-1.9005359558766348e-05
conservative,article_count_geopolitical,0.00018993901112476777
conservative,article_count_technology,-0.00010724723750339896
conservative,sentiment_score_financial,6.269830164678817e-05
conservative,sentiment_score_geopolitical,0.0001777026999355058
conservative,sentiment_score_technology,2.168165838420186e-05
conservative,article_zscore_financial,-0.00012425708087048214
conservative,article_zscore_geopolitical,-4.5682670576193404e-05
conservative,article_zscore_technology,3.7034636958459675e-05
conservative,sentiment_velocity_financial,-3.190956425558981e-05
conservative,sentiment_velocity_geopolitical,7.355514475868935e-05
conservative,sentiment_velocity_technology,3.1923049226834e-05
conservative,sentiment_3d_financial,-2.7049962650736907e-05
conservative,sentiment_3d_geopolitical,-5.579229252458009e-05
conservative,sentiment_3d_technology,-7.782317409176791e-05
conservative,market_regime_flag,-0.00026325009068496906
conservative,weighted_sentiment_financial,0.00018476776002105481
conservative,weighted_sentiment_geopolitical,-0.00011620346458804766
conservative,weighted_sentiment_technology,-9.041515339484446e-05
conservative,z_lag1_sentiment_score_financial,0.00010136185015749565
conservative,z_lag1_sentiment_score_geopolitical,8.011830540919351e-05
conservative,z_lag1_sentiment_score_technology,-2.162463121424061e-05
conservative,lagged_vol_geopolitical,4.461441721161587e-05
