feature,importance
ret_tech,0.0
vol10_tech,0.0
vol20_tech,0.0
rolling_mean_return_5d_tech,0.0
vol5_tech,0.0
vol_zscore_5d_geopolitical,0.0
vol_zscore_5d_tech,0.0
vol_zscore_5d_balanced,0.0
vol_zscore_5d_conservative,0.0
article_zscore_financial,0.0
article_spike_financial,0.0
news_available_financial,0.0
article_zscore_geopolitical,0.0
article_spike_geopolitical,0.0
news_available_geopolitical,0.0
article_zscore_technology,0.0
article_spike_technology,0.0
news_available_technology,0.0
market_regime_flag,0.0
z_avg_prob_neg_financial,0.0
z_avg_prob_neg_geopolitical,0.0
z_avg_prob_neg_technology,0.0
z_sentiment_score_financial,0.0
z_sentiment_score_geopolitical,0.0
z_sentiment_score_technology,0.0
z_lag1_sentiment_score_financial,0.0
z_lag1_sentiment_score_geopolitical,0.0
z_lag1_sentiment_score_technology,0.0
z_lag2_sentiment_score_financial,0.0
z_lag3_sentiment_score_financial,0.0
z_lag2_sentiment_score_geopolitical,0.0
z_lag3_sentiment_score_geopolitical,0.0
z_lag2_sentiment_score_technology,0.0
z_lag3_sentiment_score_technology,0.0
z_sentiment_velocity_financial,0.0
z_sentiment_velocity_geopolitical,0.0
z_sentiment_velocity_technology,0.0
