cause,effect,lag,ccf_correlation
geopolitical,tech,0,0.0827
geopolitical,tech,1,0.2858
geopolitical,tech,2,-0.1237
geopolitical,tech,3,-0.0829
geopolitical,tech,4,0.0479
geopolitical,tech,5,0.0983
financial,tech,0,-0.0154
financial,tech,1,-0.2116
financial,tech,2,-0.3827
financial,tech,3,-0.3606
financial,tech,4,-0.0679
financial,tech,5,0.4937
geopolitical,balanced,0,0.0546
geopolitical,balanced,1,0.3237
geopolitical,balanced,2,-0.2705
geopolitical,balanced,3,-0.0854
geopolitical,balanced,4,-0.0675
geopolitical,balanced,5,-0.067
technology,geopolitical,0,0.0237
technology,geopolitical,1,-0.1791
technology,geopolitical,2,0.0342
technology,geopolitical,3,-0.3514
technology,geopolitical,4,0.7727
technology,geopolitical,5,-0.1592
financial,balanced,0,-0.1278
financial,balanced,1,-0.2583
financial,balanced,2,-0.3306
financial,balanced,3,-0.2081
financial,balanced,4,0.1943
financial,balanced,5,0.5112
